close  ,max_lose,max_profit,number,open   ,profit,result,instrument,side,strategy          ,date
3146.42,0.0     ,0.6204    ,30510 ,3159.5 ,5.1   ,1     ,ETHUSDT   ,Sell,maxCh_m10_sh      ,2024-04-21 23:29:34.282
151.27 ,0.0     ,0.373     ,30519 ,151.5  ,1.97  ,1     ,SOLUSDT   ,Sell,maxCh_mTP         ,2024-04-22 01:24:16.165
150.91 ,0.0     ,0.3894    ,30520 ,151.5  ,1.97  ,1     ,SOLUSDT   ,Sell,maxCh_120SlMin    ,2024-04-22 01:27:40.524
150.91 ,0.0     ,0.3894    ,30521 ,151.5  ,1.97  ,1     ,SOLUSDT   ,Sell,maxCh_mSL         ,2024-04-22 01:27:40.774
150.91 ,0.0     ,0.3894    ,30522 ,151.5  ,1.97  ,1     ,SOLUSDT   ,Sell,maxCh_pSL         ,2024-04-22 01:27:40.993
149.09 ,0.0     ,1.441     ,30523 ,151.27 ,1.97  ,1     ,SOLUSDT   ,Sell,maxCh_m10_sh      ,2024-04-22 01:31:47.887
149.09 ,0.0     ,1.591     ,30524 ,151.5  ,7.27  ,1     ,SOLUSDT   ,Sell,maxCh_pTP         ,2024-04-22 01:31:48.130
64752.9,0.0     ,1.284     ,30526 ,65595.0,13.64 ,1     ,BTCUSDT   ,Sell,maxCh_m10_sh      ,2024-04-22 01:31:57.491
3145.99,0.0     ,1.279     ,30532 ,3186.75,3.04  ,1     ,ETHUSDT   ,Sell,maxCh_120SlMin    ,2024-04-22 01:32:50.969
3145.99,0.0     ,1.279     ,30533 ,3186.75,3.04  ,1     ,ETHUSDT   ,Sell,maxCh_m10_sh      ,2024-04-22 01:32:51.239
3145.99,0.0     ,1.279     ,30535 ,3186.75,3.04  ,1     ,ETHUSDT   ,Sell,maxCh_mSL         ,2024-04-22 01:32:51.717
3145.99,0.0     ,1.279     ,30536 ,3186.75,3.04  ,1     ,ETHUSDT   ,Sell,maxCh_pSL         ,2024-04-22 01:32:51.936
3145.99,0.0     ,1.279     ,30537 ,3186.75,3.04  ,1     ,ETHUSDT   ,Sell,maxCh_mTP         ,2024-04-22 01:32:52.156
149.71 ,0.0     ,1.182     ,30538 ,151.5  ,0.22  ,1     ,SOLUSDT   ,Sell,maxCh_120         ,2024-04-22 01:33:37.373
149.71 ,0.0     ,1.182     ,30539 ,151.5  ,4.92  ,1     ,SOLUSDT   ,Sell,maxCh_120SlMax    ,2024-04-22 01:33:37.604
149.71 ,0.0     ,1.182     ,30540 ,151.5  ,0.22  ,1     ,SOLUSDT   ,Sell,maxCh_120_m_miniSL,2024-04-22 01:33:37.865
149.71 ,0.0     ,1.182     ,30541 ,151.5  ,0.22  ,1     ,SOLUSDT   ,Sell,maxCh_120_p_miniSL,2024-04-22 01:33:38.101
3154.88,0.0     ,1.0       ,30542 ,3186.75,0.77  ,1     ,ETHUSDT   ,Sell,maxCh_120         ,2024-04-22 01:33:46.828
3154.88,0.0     ,1.0       ,30544 ,3186.75,0.77  ,1     ,ETHUSDT   ,Sell,maxCh_120_m_miniSL,2024-04-22 01:33:47.287
3154.88,0.0     ,1.0       ,30545 ,3186.75,0.77  ,1     ,ETHUSDT   ,Sell,maxCh_120_p_miniSL,2024-04-22 01:33:47.515
