"id","instrument","timeframe","ok_percent","ok_final_percent","avg_diff","avg_candle_size","side","volume","candle_count"
11869,"10000000AIDOGEUSDT",ONE_MINUTE,6.3679247,25.925926,0.03197213,0.4696365,LONG,1168018.0,424
11870,"10000000AIDOGEUSDT",ONE_MINUTE,62.78027,6.071429,0.20865802,0.13752098,SHORT,1168018.0,446
11871,"1000000BABYDOGEUSDT",ONE_MINUTE,6.2992125,79.166664,0.039026946,0.3158945,LONG,953485.0,381
11872,"1000000BABYDOGEUSDT",ONE_MINUTE,50.63291,14.5,0.12543514,0.107420325,SHORT,953485.0,395
11873,"1000000MOGUSDT",ONE_MINUTE,6.275304,61.29032,0.10186552,0.6372211,LONG,28893811,494
11874,"1000000MOGUSDT",ONE_MINUTE,52.6,4.5627375,0.28727862,0.2363545,SHORT,28893811,500
11875,"1000000PEIPEIUSDT",ONE_MINUTE,7.5098815,76.31579,0.17932087,1.1737263,LONG,32805268,506
11876,"1000000PEIPEIUSDT",ONE_MINUTE,62.955032,7.482993,0.4784383,0.3544993,SHORT,32805268,467
11877,"10000COQUSDT",ONE_MINUTE,8.363636,43.47826,0.015320198,0.25301152,LONG,870938.0,275
11878,"10000COQUSDT",ONE_MINUTE,100.0,9.95671,0.11352209,0.04227604,SHORT,870938.0,231
11879,"10000LADYSUSDT",ONE_MINUTE,5.5888224,96.42857,0.093616426,0.72496265,LONG,9934916.0,501
11880,"10000LADYSUSDT",ONE_MINUTE,51.57895,12.244898,0.2525059,0.19422106,SHORT,9934916.0,475
11881,"10000NFTUSDT",ONE_MINUTE,6.722689,50.0,0.010669862,0.1687207,LONG,67468.0,119
11882,"10000NFTUSDT",ONE_MINUTE,100.0,9.756098,0.062495343,0.014061358,SHORT,67468.0,123
11883,"10000SATSUSDT",ONE_MINUTE,7.882883,85.71429,0.0980923,0.69451344,LONG,80993908,444
11884,"10000SATSUSDT",ONE_MINUTE,67.28779,6.769231,0.28298518,0.19261122,SHORT,80993908,483
11885,"10000STARLUSDT",ONE_MINUTE,7.2115383,40.0,0.013483706,0.2912637,LONG,411017.0,208
11886,"10000STARLUSDT",ONE_MINUTE,100.0,4.1860466,0.14730012,0.037846796,SHORT,411017.0,215
11887,"10000WENUSDT",ONE_MINUTE,6.9473686,57.575756,0.039221894,0.35514113,LONG,4020226.0,475
11888,"10000WENUSDT",ONE_MINUTE,50.619835,6.5306125,0.16473815,0.13065355,SHORT,4020226.0,484
11889,"1000APUUSDT",ONE_MINUTE,6.21118,66.666664,0.11019922,0.95850915,LONG,6501526.0,483
11890,"1000APUUSDT",ONE_MINUTE,63.374485,11.688312,0.36444336,0.24367683,SHORT,6501526.0,486
11891,"1000BEERUSDT",ONE_MINUTE,6.4444447,82.75862,0.07521743,0.53613716,LONG,13408142,450
11892,"1000BEERUSDT",ONE_MINUTE,58.503403,14.7286825,0.21562411,0.15587875,SHORT,13408142,441
11893,"1000BONKUSDT",ONE_MINUTE,6.8825912,61.764706,0.057312198,0.39346027,LONG,112256171,494
11894,"1000BONKUSDT",ONE_MINUTE,57.74648,5.226481,0.19109637,0.14098026,SHORT,112256171,497
11895,"1000BTTUSDT",ONE_MINUTE,7.3943663,47.61905,0.0087352395,0.1548165,LONG,511358.0,284
11896,"1000BTTUSDT",ONE_MINUTE,83.333336,2.0,0.059084203,0.017956888,SHORT,511358.0,300
