number,date,strategy,side,instrument,open,close,profit,result,max_profit,max_lose
31419,2022-09-02 22:00:04,so_120,SELL,MKRUSDT,770.0,748.0,13.9257142857143,1,181.8,-90.9
31420,2022-09-02 22:00:05,sor_120,BUY,MKRUSDT,770.0,748.0,-14.6457142857143,0,90.9,-181.8
31421,2022-09-02 22:00:07,so_120,SELL,BNBUSDT,279.0,276.2,6.98688172043014,1,139.8,-115.57
31422,2022-09-02 22:00:08,sor_120,BUY,BNBUSDT,279.0,276.2,-8.06688172043014,0,115.57,-139.8
31423,2022-09-02 22:00:10,so_120,SELL,SOLUSDT,31.43,31.2,3.29892459433663,1,105.0,-151.15
31424,2022-09-02 22:00:11,sor_120,BUY,SOLUSDT,31.43,31.2,-4.01892459433663,0,151.15,-105.0
31425,2022-09-03 01:00:00,so_120,BUY,XRPUSDT,0.3271,0.3314,9.31937022317327,1,167.4,-9.15
31426,2022-09-03 01:00:02,sor_120,SELL,XRPUSDT,0.3271,0.3314,-10.3993702231733,0,9.15,-167.4
31427,2022-09-03 04:00:00,so_120,SELL,XRPUSDT,0.3314,0.3283,6.47569100784549,1,83.7,-4.5
31428,2022-09-03 04:00:02,sor_120,BUY,XRPUSDT,0.3314,0.3283,-7.55569100784549,0,4.5,-83.7
31429,2022-09-03 05:59:58,so_120,BUY,XRPUSDT,0.3283,0.3309,5.39968930855935,1,73.13,-2.25
31430,2022-09-03 06:00:00,sor_120,SELL,XRPUSDT,0.3283,0.3309,-6.47968930855935,0,2.25,-73.13
31431,2022-09-03 06:59:55,so_120,SELL,XRPUSDT,0.331,0.3292,3.53854984894265,1,61.2,0.0
31432,2022-09-03 06:59:57,sor_120,BUY,XRPUSDT,0.331,0.3292,-4.61854984894265,0,0.0,-61.2
31433,2022-09-03 16:59:58,so_120,BUY,XRPUSDT,0.3291,0.3302,1.96683682771192,1,52.43,-57.0
31434,2022-09-03 17:00:00,sor_120,SELL,XRPUSDT,0.3291,0.3302,-3.04683682771192,0,57.0,-52.43
31435,2022-09-03 17:00:03,so_120,BUY,BNBUSDT,276.1,277.3,2.71968851865263,1,73.35,-48.9
31436,2022-09-03 17:00:04,sor_120,SELL,BNBUSDT,276.1,277.3,-3.79968851865263,0,48.9,-73.35
31437,2022-09-03 19:00:02,so_120,BUY,SOLUSDT,31.21,31.1,-2.12225568727971,0,11.2,-64.1
31438,2022-09-03 19:00:03,sor_120,SELL,SOLUSDT,31.21,31.1,1.40225568727971,1,64.1,-11.2
31439,2022-09-03 20:00:06,so_120,SELL,SOLUSDT,31.1,30.95,2.051575562701,1,43.4,-12.85
31440,2022-09-03 20:00:07,sor_120,BUY,SOLUSDT,31.1,30.95,-2.771575562701,0,12.85,-43.4
31441,2022-09-03 22:59:58,so_120,BUY,DOTUSDT,7.23,7.27,3.60937759336091,1,83.03,-51.9
31442,2022-09-03 23:00:00,sor_120,SELL,DOTUSDT,7.23,7.27,-4.68937759336091,0,51.9,-83.03
31443,2022-09-04 02:59:59,so_120,BUY,SOLUSDT,30.94,31.45,7.88175824175821,1,116.35,-4.85
31444,2022-09-04 03:00:01,sor_120,SELL,SOLUSDT,30.94,31.45,-8.60175824175821,0,4.85,-116.35
31445,2022-09-04 03:59:59,so_120,BUY,ETHUSDT,1580.74,1552.17,-18.7938135303718,0,7.2,-293.3
31446,2022-09-04 04:00:01,sor_120,SELL,ETHUSDT,1580.74,1552.17,17.3538135303718,1,293.3,-7.2
31447,2022-09-04 06:59:58,so_120,BUY,MKRUSDT,750.0,743.0,-5.02666666666667,0,13.35,-106.65
31448,2022-09-04 07:00:00,sor_120,SELL,MKRUSDT,750.0,743.0,4.30666666666667,1,106.65,-13.35
31449,2022-09-04 07:59:57,so_120,SELL,ETHUSDT,1552.15,1545.3,3.69323325709508,1,53.6,-30.6
31450,2022-09-04 07:59:59,sor_120,BUY,ETHUSDT,1552.15,1545.3,-5.13323325709508,0,30.6,-53.6
31451,2022-09-04 10:00:09,so_120,SELL,DOTUSDT,7.27,7.23,3.58654745529565,1,123.83,-134.1
31452,2022-09-04 10:00:11,sor_120,BUY,DOTUSDT,7.27,7.23,-4.66654745529565,0,134.1,-123.83
31453,2022-09-04 13:00:05,so_120,BUY,ETHUSDT,1544.76,1572.3,17.1080121183873,1,243.5,-26.3
31454,2022-09-04 13:00:06,sor_120,SELL,ETHUSDT,1544.76,1572.3,-18.5480121183873,0,26.3,-243.5
31455,2022-09-04 15:00:03,so_120,BUY,BTCUSDT,19975.56,19747.06,-15.1987230395543,0,47.63,-243.75
31456,2022-09-04 15:00:05,sor_120,SELL,BTCUSDT,19975.56,19747.06,13.3987230395543,1,243.75,-47.63
31457,2022-09-04 19:00:05,so_120,SELL,MKRUSDT,743.0,741.0,0.985895020188425,1,53.85,-74.0
31458,2022-09-04 19:00:07,sor_120,BUY,MKRUSDT,743.0,741.0,-1.70589502018843,0,74.0,-53.85
31459,2022-09-04 23:00:04,so_120,BUY,DOTUSDT,7.23,7.3,6.72141078838168,1,176.33,-72.6
31460,2022-09-04 23:00:05,sor_120,SELL,DOTUSDT,7.23,7.3,-7.80141078838168,0,72.6,-176.33
31461,2022-09-05 00:00:02,so_120,BUY,MKRUSDT,741.0,753.0,7.73716599190283,1,87.7,-6.75
